@RELATION changeToArff

@ATTRIBUTE bidnumber REAL
@ATTRIBUTE bidtext REAL
@ATTRIBUTE numberofdicetobid REAL
@ATTRIBUTE diceselectedforcurrentbid REAL
@ATTRIBUTE die1 REAL
@ATTRIBUTE die2 REAL
@ATTRIBUTE die3 REAL
@ATTRIBUTE die4 REAL
@ATTRIBUTE die5 REAL
@ATTRIBUTE remainingdice REAL
@ATTRIBUTE round REAL
@ATTRIBUTE somestat REAL
@ATTRIBUTE 0or1 REAL

@DATA
4,?,3,5,3,3,6,2,?,17,4,0.463,0
?,?,1,5,6,6,3,?,?,16,5,16.67,1
6,4,5,5,6,6,3,?,?,16,5,0.01,0
?,?,1,5,6,5,?,?,?,15,6,100,1
4,3,3,5,6,5,?,?,?,15,6,2.78,1
4,2,2,5,2,4,?,?,?,14,7,2.78,1
6,2,3,5,6,4,?,?,?,13,8,0.46,1
2,3,3,5,4,2,?,?,?,12,9,0.46,1
6,1,2,5,4,6,?,?,?,11,10,2.78,1
1,3,3,5,4,6,?,?,?,11,10,0.46,1
5,4,5,5,4,6,?,?,?,11,10,0.01,0
?,?,1,5,4,?,?,?,?,10,11,16.67,1
1,3,3,5,4,?,?,?,?,10,11,0.46,1
6,2,3,5,6,?,?,?,?,9,12,0.46,0
5,3,4,5,6,6,2,6,1,20,1,0.08,0
?,?,1,5,6,5,4,1,?,19,2,100,1
6,1,2,5,3,1,6,1,?,18,3,2.78,1
1,4,4,5,3,1,6,1,?,18,3,0.08,1
4,2,2,5,6,1,4,5,?,17,4,16.67,1
6,3,4,5,6,1,4,5,?,17,4,0.46,0
?,?,1,5,3,3,1,?,?,16,5,16.67,1
6,2,3,5,3,3,1,?,?,16,5,0.46,1
1,5,5,5,3,3,1,?,?,16,5,0.01,0
?,?,1,5,6,6,?,?,?,15,6,16.67,1
2,4,4,5,6,6,?,?,?,15,6,0.08,0
?,?,1,5,6,?,?,?,?,14,7,16.67,1
4,4,4,5,6,?,?,?,?,14,7,0.08,1
6,1,2,5,1,?,?,?,?,13,8,2.78,1
1,4,4,5,1,?,?,?,?,13,8,0.08,1
3,3,3,5,2,?,?,?,?,12,9,0.46,1
1,2,2,5,2,?,?,?,?,11,10,2.78,1
4,3,3,5,2,?,?,?,?,11,10,0.46,1
5,4,5,5,2,?,?,?,?,11,10,0.01,0
6,4,5,5,5,1,2,2,3,20,1,0.08,0
6,4,5,5,5,1,2,2,3,20,1,0.08,0
?,?,1,5,1,3,4,1,?,19,2,16.67,1
2,3,3,5,1,3,4,1,?,19,2,0.46,1
6,2,3,5,6,3,6,1,?,18,3,0.46,1
5,5,6,5,6,3,6,1,?,18,3,0,0
?,?,1,5,4,2,2,?,?,17,4,16.67,0
1,4,4,5,4,2,2,?,?,17,4,0.08,0
?,?,1,5,5,6,?,?,?,16,5,100,0
6,1,2,5,4,1,?,?,?,15,6,2.78,1
5,1,2,5,3,2,?,?,?,14,7,2.78,1
4,4,4,5,3,2,?,?,?,14,7,0.08,1
6,2,3,5,4,5,?,?,?,13,8,2.78,1
3,3,3,5,6,5,?,?,?,12,9,2.78,1
6,1,2,5,4,4,?,?,?,11,10,2.78,1
6,2,3,5,6,4,?,?,?,10,11,0.46,1
5,2,3,5,6,5,?,?,?,9,12,2.78,1
5,4,5,5,6,5,?,?,?,9,12,0.08,0
?,?,1,5,1,?,?,?,?,8,13,16.67,1
6,3,4,5,1,?,?,?,?,8,13,0.08,1
5,3,4,5,3,?,?,?,?,7,14,0.08,1
1,3,3,5,6,?,?,?,?,6,15,0.48,1
5,1,2,5,1,?,?,?,?,5,16,2.86,1
5,2,3,5,4,?,?,?,?,4,17,0.93,1
?,?,1,5,2,?,?,?,?,3,18,19.44,1
6,1,2,5,2,?,?,?,?,3,18,5.56,1
2,4,4,5,3,1,1,1,3,20,1,0.08,0
?,?,1,5,2,1,3,6,?,19,2,16.67,1
1,4,4,5,2,1,3,6,?,19,2,0.08,1
5,2,3,5,1,6,2,4,?,18,3,0.46,1
6,1,2,5,3,3,6,3,?,17,4,2.78,1
1,4,4,5,3,3,6,3,?,17,4,0.08,1
6,2,3,5,6,1,6,2,?,16,5,0.46,1
6,5,6,5,6,1,6,2,?,16,5,0,0
?,?,1,5,4,4,3,?,?,15,6,16.67,1
5,3,4,5,4,4,3,?,?,15,6,0.08,1
2,3,3,5,3,1,6,?,?,14,7,0.46,1
6,1,2,5,2,4,3,?,?,13,8,2.78,1
3,5,5,5,2,4,3,?,?,13,8,0.01,0
?,?,1,5,3,4,?,?,?,12,9,16.67,1
6,3,4,5,3,4,?,?,?,12,9,0.08,0
?,?,1,5,3,?,?,?,?,11,10,16.67,1
4,3,3,5,3,?,?,?,?,11,10,0.46,1
6,2,3,5,5,?,?,?,?,10,11,2.78,1
6,2,3,5,3,?,?,?,?,9,12,0.46,1
3,3,3,5,6,?,?,?,?,8,13,0.46,1
4,5,5,5,6,?,?,?,?,8,13,0.01,0
3,3,3,5,1,3,3,6,4,20,1,0.46,1
3,5,5,5,1,3,3,6,4,20,1,0.01,0
?,?,1,5,6,2,2,2,?,19,2,16.67,0
5,4,5,5,6,2,2,2,?,19,2,0.01,1
5,2,3,5,6,1,1,5,?,18,3,2.78,1
5,4,5,5,6,1,1,5,?,18,3,0.08,1
6,2,3,5,3,4,3,3,?,17,4,0.46,1
6,4,5,5,3,4,3,3,?,17,4,0.01,0
?,?,1,5,1,4,4,?,?,16,5,16.67,0
2,4,4,5,1,4,4,?,?,16,5,0.08,0
?,?,1,5,3,6,?,?,?,15,6,16.67,1
1,3,3,5,3,6,?,?,?,15,6,0.46,1
6,1,2,5,4,4,?,?,?,14,7,2.78,1
3,4,4,5,4,4,?,?,?,14,7,0.08,1
4,3,3,5,2,5,?,?,?,13,8,2.78,1
5,2,3,5,4,2,?,?,?,12,9,0.46,1
6,3,4,5,3,4,?,?,?,11,10,0.08,1
6,2,3,5,4,4,?,?,?,10,11,0.46,1
3,5,5,5,4,4,?,?,?,10,11,0.01,0
?,?,1,5,4,?,?,?,?,9,12,16.67,1
6,2,3,5,4,?,?,?,?,9,12,0.46,1
4,3,3,5,4,?,?,?,?,8,13,0.46,1
6,1,2,5,4,?,?,?,?,7,14,2.78,1
6,3,4,5,4,?,?,?,?,7,14,0.08,0
5,4,5,2,1,6,3,2,6,20,1,0.08,1
5,2,3,2,4,6,3,2,1,19,2,2.78,1
5,4,5,2,4,6,3,2,1,19,2,0.08,1
5,3,4,2,4,1,6,4,5,18,3,0.08,0
?,?,1,2,2,3,4,6,?,17,4,100,0
?,?,1,2,2,3,4,6,?,17,4,100,0
6,3,4,2,2,3,4,6,?,17,4,0.46,1
6,2,3,2,4,1,1,6,?,16,5,0.46,1
5,4,5,2,4,1,1,6,?,16,5,0.01,0
?,?,1,2,2,4,6,?,?,15,6,100,1
?,?,1,2,2,4,6,?,?,15,6,100,1
5,3,4,2,2,4,6,?,?,15,6,0.46,1
5,2,3,2,5,2,1,?,?,14,7,2.78,1
5,3,4,2,5,2,1,?,?,14,7,0.46,1
6,2,3,2,6,2,6,?,?,13,8,2.78,1
5,4,5,2,6,2,6,?,?,13,8,0.08,0
?,?,1,2,1,3,?,?,?,12,9,16.67,1
6,2,3,2,1,3,?,?,?,12,9,0.46,1
6,2,3,2,5,3,?,?,?,11,10,0.46,1
5,2,3,2,4,6,?,?,?,10,11,0.46,1
5,3,4,2,1,6,?,?,?,9,12,0.08,0
?,?,1,2,2,?,?,?,?,8,13,100,0
5,3,4,2,2,?,?,?,?,8,13,0.46,1
6,2,3,2,6,?,?,?,?,7,14,0.47,0
3,3,4,2,3,5,5,3,4,20,1,0.08,1
5,2,3,2,2,1,2,4,2,19,2,100,1
5,2,3,2,4,1,2,2,3,18,3,16.67,1
6,3,4,2,4,4,3,6,1,17,4,0.08,1
6,4,5,2,4,4,3,6,1,17,4,0.01,0
?,?,1,2,6,5,3,6,?,16,5,16.67,0
?,?,1,2,6,5,3,6,?,16,5,16.67,0
5,3,4,2,6,5,3,6,?,16,5,0.08,1
5,3,4,2,6,6,2,1,?,15,6,0.46,0
?,?,1,2,1,4,1,?,?,14,7,16.67,0
6,4,5,2,1,4,1,?,?,14,7,0.01,0
?,?,1,2,3,4,?,?,?,13,8,16.67,0
2,4,5,2,3,4,?,?,?,13,8,0.01,1
6,2,3,2,4,5,?,?,?,12,9,0.46,1
5,3,4,2,6,2,?,?,?,11,10,0.46,0
?,?,1,2,4,?,?,?,?,10,11,16.67,0
2,4,5,2,4,?,?,?,?,10,11,0.01,0
6,3,4,2,5,6,5,2,5,20,1,0.46,1
5,5,6,2,5,6,5,2,5,20,1,0.01,0
?,?,1,2,1,2,1,2,?,19,2,100,1
5,4,5,2,1,2,1,2,?,19,2,0.46,1
6,2,3,2,2,4,2,5,?,18,3,16.67,1
4,4,5,2,2,4,2,5,?,18,3,0.46,0
?,?,1,2,3,3,2,?,?,17,4,100,1
3,4,5,2,3,3,2,?,?,17,4,0.08,1
3,3,4,2,5,3,5,?,?,16,5,0.08,0
?,?,1,2,5,2,?,?,?,15,6,100,1
1,3,3,2,5,2,?,?,?,15,6,2.78,1
1,5,5,2,5,2,?,?,?,15,6,0.08,0
?,?,1,2,6,?,?,?,?,14,7,16.67,1
3,3,4,2,6,?,?,?,?,14,7,0.08,1
3,5,6,2,6,?,?,?,?,14,7,0,0
3,4,5,2,4,4,6,1,3,20,1,0.01,0
?,?,1,2,4,3,4,2,?,19,2,100,1
3,4,5,2,4,3,4,2,?,19,2,0.08,1
5,1,2,2,3,5,5,1,?,18,3,2.78,1
5,4,5,2,3,5,5,1,?,18,3,0.01,1
6,3,4,2,5,2,2,5,?,17,4,2.78,1
6,2,3,2,3,6,4,5,?,16,5,0.46,1
4,2,3,2,4,6,4,1,?,15,6,0.46,1
4,4,5,2,4,6,4,1,?,15,6,0.01,0
?,?,1,2,4,2,4,?,?,14,7,100,0
1,4,4,2,4,2,4,?,?,14,7,0.46,1
6,1,2,2,5,6,6,?,?,13,8,2.78,1
2,3,4,2,5,6,6,?,?,13,8,0.08,1
6,3,4,2,4,5,6,?,?,12,9,0.08,1
1,2,2,2,2,1,6,?,?,11,10,16.67,1
1,4,4,2,2,1,6,?,?,11,10,0.46,1
4,3,4,2,4,4,3,?,?,10,11,0.08,1
5,2,3,2,2,1,3,?,?,9,12,2.78,1
6,4,5,2,2,1,3,?,?,9,12,0.08,0
?,?,1,2,4,1,?,?,?,8,13,16.67,1
4,4,5,2,4,1,?,?,?,8,13,0.02,0
?,?,1,2,5,?,?,?,?,7,14,16.67,0
2,2,3,2,5,?,?,?,?,7,14,0.47,1
5,1,2,2,5,?,?,?,?,6,15,2.79,1
5,4,5,2,5,?,?,?,?,6,15,0.03,0
6,3,4,2,3,1,5,5,2,20,1,0.46,1
6,5,6,2,3,1,5,5,2,20,1,0.01,0
?,?,1,2,6,6,5,4,?,19,2,16.67,1
2,3,4,2,6,6,5,4,?,19,2,0.08,1
3,2,3,2,1,6,5,1,?,18,3,0.46,1
5,1,2,2,4,4,2,1,?,17,4,16.67,1
6,2,3,2,2,5,2,5,?,16,5,16.67,1
4,5,6,2,2,5,2,5,?,16,5,0.08,1
6,3,4,2,3,3,4,6,?,15,6,0.08,1
